اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
حي السحلولية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي السحلولية,32.0879,35.7981
حي السرايا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي السرايا,32.0389,35.7247
حي السرور,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي السرور,32.0430,35.7790
حي السويسة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي السويسة,31.9531,35.7613
حي الشجرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي الشجرة,32.0972,35.7343
حي الشفا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي الشفا,32.0473,35.7599
حي الصافح والبقيع,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي الصافح والبقيع,32.0371,35.7119
حي الصنوبر,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي الصنوبر,31.9429,35.8231
حي الضباط,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي الضباط,32.0572,36.0867
حي العوايشة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي العوايشة,32.0320,35.7932
حي العيزرية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي العيزرية,32.0367,35.7229
حي الغروس الشرقي,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي الغروس الشرقي,31.9581,35.7762
حي الغروس الغربي,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي الغروس الغربي,31.9620,35.7801
حي الفروسية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي الفروسية,32.0258,35.8025
حي الفلاح,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي الفلاح,32.0368,36.0635
حي القبة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي القبة,31.9711,35.7832
حي القسام,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي القسام,32.0172,35.7138
حي القلعة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي القلعة,32.0417,35.7239
