اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
طف النبي يوشع,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,طف النبي يوشع,32.0707,35.7097
عبدلي,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,عبدلي,31.9630,35.9050
عبدون,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,عبدون,31.9400,35.8750
عبدون الجنوبي,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,عبدون الجنوبي,31.9412,35.8860
عراق الأمير,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,عراق الأمير,31.9240,35.8100
عرجان الشرقية,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,عرجان الشرقية,31.9835,35.9165
عرقاوة,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,عرقاوة,31.9180,35.9100
علان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,علان,32.1172,35.7440
عليقون,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,عليقون,32.1587,35.7672
عوجان الشرقي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,عوجان الشرقي,32.0333,36.0833
عين الباشا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,عين الباشا,32.0300,35.8400
عين خنيزير,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,عين خنيزير,32.0833,35.8000
عين رباط,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,عين رباط,32.0072,35.9743
عين غزال,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,عين غزال,31.9961,35.9770
غرناطة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,غرناطة,31.7433,35.7880
غريسة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,غريسة,32.1833,36.0833
قبور عبد الله,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,قبور عبد الله,31.7667,35.7667
قرطبة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,قرطبة,32.0687,36.0576
قرية سالم,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,قرية سالم,31.8500,35.9667
قصيب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,قصيب,32.1611,35.7532
قلعة الزرقاء,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,قلعة الزرقاء,32.0833,36.1000
كفير أبو سربوط,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,كفير أبو سربوط,31.7500,35.7833
كفيرات أبو خينان,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,كفيرات أبو خينان,31.7333,35.8000
كورنيت سعيد,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,كورنيت سعيد,31.9250,35.8150
مؤته,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,مؤته,31.7119,35.7931
ماحص,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ماحص,31.9833,35.7667
مادبا,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,مادبا,31.7240,35.7986
ماركا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ماركا,31.9750,35.9850
ماركا الجنوبية,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ماركا الجنوبية,31.9620,35.9798
ماركا الشمالية,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ماركا الشمالية,31.9800,35.9900
ماسوح,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,ماسوح,31.7777,35.8462
مجمع السفريات,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,مجمع السفريات,31.7137,35.8013
محمد الفاتح,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,محمد الفاتح,31.7275,35.7889
مخيم البقعة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,مخيم البقعة,32.0731,35.8430
مخيم الحسين,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الحسين,مخيم الحسين,31.9679,35.9251
مخيم الزرقاء,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,مخيم الزرقاء,32.0581,36.0919
مخيم الطالبية,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,مخيم الطالبية,31.7053,35.9492
مخيم الوحدات,لواء قصبة عمان,مديرية شرطة شرق عمان,مركز أمن الأشرفية,مخيم الوحدات,31.9304,35.9386
مخيم حطين,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,مخيم حطين,32.0074,36.0200
مدينة الشرق,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,مدينة الشرق,32.0566,36.1210
مدينة المجد,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,مدينة المجد,32.0389,36.1110
مدينة رغدان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,مدينة رغدان,32.0050,35.8700
مرج الحمام,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,مرج الحمام,31.8950,35.8550
مرج الفرس,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,مرج الفرس,32.0442,35.9408
مرج الموالي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,مرج الموالي,32.1501,35.7190
مرصع,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,مرصع,32.1370,35.8710
مزرعة السامك,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,مزرعة السامك,31.7923,35.8673
مشيرفة الرواشدة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,مشيرفة الرواشدة,31.9367,35.7795
مطار ماركا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,مطار ماركا,31.9730,35.9930
مقابلين,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,مقابلين,31.9050,35.9150
مكة المكرمة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,مكة المكرمة,32.0482,36.0417
منجا,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,منجا,31.7450,35.8544
منطقة أبو نصير,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,منطقة أبو نصير,32.0520,35.8805
منطقة احد,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,منطقة احد,31.8876,36.0326
منطقة التطوير,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,منطقة التطوير,31.9968,36.0536
منطقة الضليل,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن أحد,منطقة الضليل,32.1308,36.2716
منطقة القويسمة,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,منطقة القويسمة,31.9167,35.9500
منطقة المدينة,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,منطقة المدينة,31.9450,35.9288
منطقة المقابلين,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,منطقة المقابلين,31.8963,35.9041
منطقة النصر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن النصر,منطقة النصر,31.9526,35.9668
منطقة اليرموك,لواء قصبة عمان,مديرية شرطة شرق عمان,مركز أمن الأشرفية,منطقة اليرموك,31.9356,35.9381
منطقة بدر,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,منطقة بدر,31.9307,35.9070
منطقة بسمان,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,منطقة بسمان,31.9877,35.9239
منطقة تلاع العلي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,منطقة تلاع العلي,31.9947,35.8662
منطقة رأس العين,لواء قصبة عمان,مديرية شرطة جنوب عمان,مركز أمن جبل الزهور,منطقة رأس العين,31.9308,35.9277
منطقة زهران,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,منطقة زهران,31.9543,35.9041
منطقة صويلح,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,منطقة صويلح,32.0250,35.8381
منطقة طارق,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,منطقة طارق,31.9930,35.9447
منطقة ماركا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,منطقة ماركا,31.9777,35.9801
منطقة مرج الحمام,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,منطقة مرج الحمام,31.9017,35.8517
منطقة ناعور,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,منطقة ناعور,31.8704,35.8202
منطقة وادي السير,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,منطقة وادي السير,31.9546,35.8299
موبص,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,موبص,32.0949,35.8856
ميدان الجيش العربي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ميدان الجيش العربي,32.0608,36.0943
ميدان هزاع المجالي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ميدان هزاع المجالي,32.0811,36.1070
ناعور,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,ناعور,31.8650,35.8250
نزال,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,نزال,31.9328,35.9130
نظمي,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,نظمي,31.9550,35.8700
وادي الازرق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,وادي الازرق,32.0064,35.7334
وادي الحجر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,وادي الحجر,32.0411,36.0887
وادي الحدادة,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المدينة,وادي الحدادة,31.9599,35.9317
وادي الحور,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,وادي الحور,32.0777,35.7702
وسط البلد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,وسط البلد,32.0355,35.7290
ياجوز,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ياجوز,32.0333,35.9167
